"module name","license","repository"
"@lerna/collect-updates@3.20.0","MIT","https://github.com/lerna/lerna"
"@lerna/command@3.21.0","MIT","https://github.com/lerna/lerna"
"@lerna/conventional-commits@3.22.0","MIT","https://github.com/lerna/lerna"
"@lerna/create-symlink@3.16.2","MIT","https://github.com/lerna/lerna"
"@lerna/create@3.22.0","MIT","https://github.com/lerna/lerna"
"@lerna/describe-ref@3.16.5","MIT","https://github.com/lerna/lerna"
"@lerna/diff@3.21.0","MIT","https://github.com/lerna/lerna"
"@lerna/exec@3.21.0","MIT","https://github.com/lerna/lerna"
"@lerna/filter-options@3.20.0","MIT","https://github.com/lerna/lerna"
"@lerna/filter-packages@3.18.0","MIT","https://github.com/lerna/lerna"
"@lerna/get-npm-exec-opts@3.13.0","MIT","https://github.com/lerna/lerna"
"@lerna/get-packed@3.16.0","MIT","https://github.com/lerna/lerna"
"@lerna/github-client@3.22.0","MIT","https://github.com/lerna/lerna"
"@lerna/gitlab-client@3.15.0","MIT","git+https://gitlab.com/lerna/lerna"
"@lerna/global-options@3.13.0","MIT","https://github.com/lerna/lerna"
"@lerna/has-npm-version@3.16.5","MIT","https://github.com/lerna/lerna"
"@lerna/import@3.22.0","MIT","https://github.com/lerna/lerna"
"@lerna/info@3.21.0","MIT","https://github.com/lerna/lerna"
"@lerna/init@3.21.0","MIT","https://github.com/lerna/lerna"
"@lerna/link@3.21.0","MIT","https://github.com/lerna/lerna"
"@lerna/list@3.21.0","MIT","https://github.com/lerna/lerna"
"@lerna/listable@3.18.5","MIT","https://github.com/lerna/lerna"
"@lerna/log-packed@3.16.0","MIT","https://github.com/lerna/lerna"
"@lerna/npm-conf@3.16.0","MIT","https://github.com/lerna/lerna"
"@lerna/npm-dist-tag@3.18.5","MIT","https://github.com/lerna/lerna"
"@lerna/npm-install@3.16.5","MIT","https://github.com/lerna/lerna"
"@lerna/npm-publish@3.18.5","MIT","https://github.com/lerna/lerna"
"@lerna/npm-run-script@3.16.5","MIT","https://github.com/lerna/lerna"
"@lerna/otplease@3.18.5","MIT","https://github.com/lerna/lerna"
"@lerna/output@3.13.0","MIT","https://github.com/lerna/lerna"
"@lerna/pack-directory@3.16.4","MIT","https://github.com/lerna/lerna"
"@lerna/package-graph@3.18.5","MIT","https://github.com/lerna/lerna"
"@lerna/package@3.16.0","MIT","https://github.com/lerna/lerna"
"@lerna/prerelease-id-from-version@3.16.0","MIT","https://github.com/lerna/lerna"
"@lerna/profiler@3.20.0","MIT","https://github.com/lerna/lerna"
"@lerna/project@3.21.0","MIT","https://github.com/lerna/lerna"
"@lerna/prompt@3.18.5","MIT","https://github.com/lerna/lerna"
"@lerna/publish@3.22.1","MIT","https://github.com/lerna/lerna"
"@lerna/pulse-till-done@3.13.0","MIT","https://github.com/lerna/lerna"
"@lerna/query-graph@3.18.5","MIT","https://github.com/lerna/lerna"
"@lerna/resolve-symlink@3.16.0","MIT","https://github.com/lerna/lerna"
"@lerna/rimraf-dir@3.16.5","MIT","https://github.com/lerna/lerna"
"@lerna/run-lifecycle@3.16.2","MIT","https://github.com/lerna/lerna"
"@lerna/run-topologically@3.18.5","MIT","https://github.com/lerna/lerna"
"@lerna/run@3.21.0","MIT","https://github.com/lerna/lerna"
"@lerna/symlink-binary@3.17.0","MIT","https://github.com/lerna/lerna"
"@lerna/symlink-dependencies@3.17.0","MIT","https://github.com/lerna/lerna"
"@lerna/timer@3.13.0","MIT","https://github.com/lerna/lerna"
"@lerna/validation-error@3.13.0","MIT","https://github.com/lerna/lerna"
"@lerna/version@3.22.1","MIT","https://github.com/lerna/lerna"
"@lerna/write-log-file@3.13.0","MIT","https://github.com/lerna/lerna"
"@mrmlnc/readdir-enhanced@2.2.1","MIT","https://github.com/bigstickcarpet/readdir-enhanced"
"@nodelib/fs.stat@1.1.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@octokit/auth-token@2.4.5","MIT","https://github.com/octokit/auth-token.js"
"@octokit/endpoint@6.0.11","MIT","https://github.com/octokit/endpoint.js"
"@octokit/openapi-types@5.1.1","MIT","https://github.com/octokit/openapi-types.ts"
"@octokit/plugin-enterprise-rest@6.0.1","MIT","https://github.com/octokit/plugin-enterprise-rest.js"
"@octokit/plugin-paginate-rest@1.1.2","MIT","https://github.com/octokit/plugin-paginate-rest.js"
"@octokit/plugin-request-log@1.0.3","MIT","https://github.com/octokit/plugin-request-log.js"
"@octokit/plugin-rest-endpoint-methods@2.4.0","MIT","https://github.com/octokit/plugin-rest-endpoint-methods.js"
"@octokit/request-error@1.2.1","MIT","https://github.com/octokit/request-error.js"
"@octokit/request-error@2.0.5","MIT","https://github.com/octokit/request-error.js"
"@octokit/request@5.4.14","MIT","https://github.com/octokit/request.js"
"@octokit/rest@16.43.2","MIT","https://github.com/octokit/rest.js"
"@octokit/types@2.16.2","MIT","https://github.com/octokit/types.ts"
"@octokit/types@6.10.1","MIT","https://github.com/octokit/types.ts"
"@redux-saga/core@1.1.3","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/core"
"@redux-saga/deferred@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/deferred"
"@redux-saga/delay-p@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/delay-p"
"@redux-saga/is@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/is"
"@redux-saga/symbols@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/symbols"
"@redux-saga/types@1.1.0","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/types"
